FILE OF DATA FOR PAR_LINE:
Number of Lines, Columns
14 3
DATA
275.000000 54.000000 637.000000 240.000000
293.000000 88.000000 638.000000 265.000000
309.000000 123.000000 591.000000 263.000000
322.000000 157.000000 541.000000 261.000000
337.000000 187.000000 491.000000 259.000000
349.000000 216.000000 443.000000 259.000000
361.000000 242.000000 391.000000 255.000000
343.000000 255.000000 372.000000 267.000000
289.000000 253.000000 383.000000 291.000000
237.000000 251.000000 393.000000 313.000000
184.000000 250.000000 402.000000 336.000000
132.000000 247.000000 411.000000 355.000000
77.000000 245.000000 419.000000 377.000000
428.000000 393.000000 23.000000 241.000000
