FILE OF DATA FOR PAR_LINE:
Number of Lines, Columns
14 3
DATA
22.000000 241.000000 275.000000 54.000000
293.000000 90.000000 75.000000 244.000000
131.000000 245.000000 307.000000 125.000000
184.000000 249.000000 322.000000 157.000000
237.000000 250.000000 335.000000 187.000000
290.000000 252.000000 348.000000 216.000000
343.000000 254.000000 361.000000 242.000000
372.000000 266.000000 390.000000 256.000000
383.000000 293.000000 442.000000 258.000000
393.000000 315.000000 491.000000 259.000000
402.000000 337.000000 540.000000 263.000000
412.000000 356.000000 590.000000 262.000000
420.000000 376.000000 639.000000 265.000000
427.000000 393.000000 640.000000 289.000000
